name;status;category.id;category.name;x-trace-id
Name_1;unavailable;2;Category 002;3d43ee6f-42fb-4ad2-85df-eccad9897d91
Name_2;pending;3;Category 003;c0623903-71f6-461f-8a14-930ad2134618
Name_3;available;4;Category 004;214d580e-42f7-42c3-9618-ce18ec0b3d2d
Name_4;unavailable;5;Category 005;403991a3-2c16-4d5b-86f8-c619f81cbaaf
Name_5;pending;6;Category 006;38ae80e0-dc19-465a-b934-7a4b6aab5c44
Name_6;available;7;Category 007;45661a08-676a-4cd0-8784-0b629f6ae180
Name_7;unavailable;8;Category 008;a36b0d99-74a9-4716-b1f9-97211d65ffe4
Name_8;pending;9;Category 009;2c425afe-73ad-4b1b-8816-215a6e499c03
Name_9;available;10;Category 010;031c1c01-5cbd-4800-89e3-3d63960720e0
Name_10;unavailable;1;Category 001;41d57a08-c3ea-4e90-af82-79fca7b2c99e
Name_11;pending;2;Category 002;6ea08a1f-8319-4805-aae0-4d1159f2a919
Name_12;available;3;Category 003;7604a98c-69ac-42d2-9afe-1cbfecfa6aa3
Name_13;unavailable;4;Category 004;0435f9c7-d4a9-45f7-9fd7-2ca3dddb9fcb
Name_14;pending;5;Category 005;3b7faabe-fdf4-4d5c-b1d4-d768a5b543be
Name_15;available;6;Category 006;3d145b5d-1e2d-4034-bc06-9ddfcfa9c92a
Name_16;unavailable;7;Category 007;93b23390-5a50-407b-84f1-05ba206cdf07
Name_17;pending;8;Category 008;268c47fb-e39c-47f2-b8cf-a8f8b5c912b6
Name_18;available;9;Category 009;e23ef201-c0c2-4991-bbdc-112ef2fc7cf4
Name_19;unavailable;10;Category 010;9626fa25-87a5-48bf-9339-b0a33011d76a
Name_20;pending;1;Category 001;90400b8a-7d46-4bbf-b733-ff46719a3189
Name_21;available;2;Category 002;64a72236-8fde-4bfa-b01b-d55cf73ae2b7
Name_22;unavailable;3;Category 003;48c02bcd-5604-488b-9444-e395b76662fd
Name_23;pending;4;Category 004;cb222ef8-3b30-4d3b-9740-5413607a6c19
Name_24;available;5;Category 005;314f2f8a-cac9-4c7f-8f11-8e53e352a6c8
Name_25;unavailable;6;Category 006;d46962b1-92cb-4268-9422-0b005b554cbf
Name_26;pending;7;Category 007;0ab61037-709b-452e-84c3-7b389cafc771
Name_27;available;8;Category 008;ae9b03ed-3a65-4118-8bbe-b80dcb64c994
Name_28;unavailable;9;Category 009;f2200d94-afbb-47f7-8880-f01ebfb54e48
Name_29;pending;10;Category 010;9ebf20be-fec9-46da-beb3-151e063629de
Name_30;available;1;Category 001;a36e4e67-9131-424c-830b-9a5db1af3c08
Name_31;unavailable;2;Category 002;24f0c8a4-3ce3-495e-bb55-52a1d27a5966
Name_32;pending;3;Category 003;285fd599-e7e9-463b-aec8-295133fa606d
Name_33;available;4;Category 004;77c65173-d053-48c9-bfeb-7d4dbba617f2
Name_34;unavailable;5;Category 005;b58e0d7a-1cbc-4f6e-bbb9-41245378834e
Name_35;pending;6;Category 006;37f07ac1-c186-40be-a3da-d4a86b11f314
Name_36;available;7;Category 007;df62a058-e5d1-4553-a13e-a4791c1b5049
Name_37;unavailable;8;Category 008;11926ad2-a49c-449a-a01d-2588c3fc2162
Name_38;pending;9;Category 009;4f96e7ee-ffc0-48b3-906b-8c812c3ec0c6
Name_39;available;10;Category 010;3279df08-3abc-43a9-8b2b-3350e6dc60e9
Name_40;unavailable;1;Category 001;6d884dbb-82f5-49c0-ab18-75994fc9e338
Name_41;pending;2;Category 002;33475102-08ac-4697-bd75-22037af6b662
Name_42;available;3;Category 003;cb9d1e03-6954-42f9-a552-0a2ac0892ff3
Name_43;unavailable;4;Category 004;30d71ba2-7aa0-4e49-9647-d6c7712c7b04
Name_44;pending;5;Category 005;954dc7ea-a333-4b34-8cf8-e51bb393e8a7
Name_45;available;6;Category 006;ed7789b0-12ec-4185-8961-15f18d1eaa6c
Name_46;unavailable;7;Category 007;2eb7cc2e-4aff-4510-8454-52c67dbe7510
Name_47;pending;8;Category 008;fae30715-20b7-4c4c-893a-382541ca3fb4
Name_48;available;9;Category 009;338398c6-fdd4-489d-94e0-53a23b209c5f
Name_49;unavailable;10;Category 010;567034c2-6264-4240-8173-a5c1896cdbb3
Name_50;pending;1;Category 001;10231a95-31c9-4c79-961f-4736105ee62f
Name_51;available;2;Category 002;2dedbf69-886e-4a57-b630-2fa84afd2c18
Name_52;unavailable;3;Category 003;b3caff01-f76f-4a90-8982-7804b23561f3
Name_53;pending;4;Category 004;1e000c8b-aa40-4f57-b527-10bce8a7b0f3
Name_54;available;5;Category 005;b4854010-9afa-4841-99fa-f4f4123687c7
Name_55;unavailable;6;Category 006;ea4052a2-1cd6-461c-bd23-22a821b85092
Name_56;pending;7;Category 007;24ec8e41-2801-42ff-b73d-9765d2163d8d
Name_57;available;8;Category 008;a7dc1020-dc22-480f-b6b6-7de3063a8fd8
Name_58;unavailable;9;Category 009;058b4e84-81c3-42f7-8be9-aa6709e2ecb0
Name_59;pending;10;Category 010;8c95d311-9e54-4c02-acb0-bfd59b48ca30
Name_60;available;1;Category 001;9025cff1-d081-4bdf-ae98-54b907f90279
Name_61;unavailable;2;Category 002;79849cd3-fd34-492b-a284-82409f3b5111
Name_62;pending;3;Category 003;45e432b5-6d16-4b5d-9fff-128cc5135728
Name_63;available;4;Category 004;1230c768-8a71-46b1-8d45-5b217d55d8f8
Name_64;unavailable;5;Category 005;88072637-43d8-4150-8afb-5e9b11e47b97
Name_65;pending;6;Category 006;7752b252-1e5f-4995-a385-bae8a13b8935
Name_66;available;7;Category 007;e17af676-e30c-4f9f-8d29-85b7a5e7a5bf
Name_67;unavailable;8;Category 008;f6b0f9cb-f07f-431b-9573-00ab1e3d5c12
Name_68;pending;9;Category 009;f43ed49e-0480-46be-acf8-25f32c9a902f
Name_69;available;10;Category 010;fec9f440-235b-48a3-b32f-5d3e1711e758
Name_70;unavailable;1;Category 001;5d82b98b-f023-48c9-8d16-a2cb517e11ac
Name_71;pending;2;Category 002;9dea3a61-ce21-4bad-9897-2bf17345fd8b
Name_72;available;3;Category 003;385cfec2-6b89-4d93-b0c1-51efc1cba3d0
Name_73;unavailable;4;Category 004;b1621d58-7916-4c62-82b1-adc0682fb274
Name_74;pending;5;Category 005;2f7bb909-3102-48d1-a4a6-c83fb586e9af
Name_75;available;6;Category 006;677676cf-c4a8-4ec1-8ba5-5cc7134743c8
Name_76;unavailable;7;Category 007;332d4e94-6cb7-4e13-9ba3-7945044b9299
Name_77;pending;8;Category 008;b1c795b4-c421-4354-84b3-6bc796e6d150
Name_78;available;9;Category 009;50de5562-5ddf-4b2e-adef-34ffda47e163
Name_79;unavailable;10;Category 010;4851fe92-008f-4180-89e1-da97cc81cb02
Name_80;pending;1;Category 001;8823d7f8-42fc-4743-bd38-c79c719353c3
Name_81;available;2;Category 002;a2f2bfb3-7b9e-4f5b-9375-bf01cf91b7b1
Name_82;unavailable;3;Category 003;dfb575fd-f57a-4d52-83f1-fe1570e318e4
Name_83;pending;4;Category 004;df196fd2-1049-4357-93b0-7eba4d09ba35
Name_84;available;5;Category 005;4ac6863b-9c7d-4abc-812b-ffe5d442c58a
Name_85;unavailable;6;Category 006;19888348-c954-4b02-a6a7-3c9712960188
Name_86;pending;7;Category 007;79bd1fb1-d936-479b-8f77-a876b7a0df8e
Name_87;available;8;Category 008;d585c166-50d6-4b9a-8605-ff4cb55753c9
Name_88;unavailable;9;Category 009;5879309e-7e5f-4a78-b3f5-87ca1d6e5ca6
Name_89;pending;10;Category 010;500289c4-c6ae-4760-83d9-8c76ed82cafd
Name_90;available;1;Category 001;3aa0998a-e9f6-48b3-9e8b-b96fba6b4458
Name_91;unavailable;2;Category 002;3d24fbf3-f0f5-454b-84c5-9b5179cc941b
Name_92;pending;3;Category 003;eec3b8ca-92a9-42f8-a767-17d60be61520
Name_93;available;4;Category 004;19512c10-f143-47b7-a083-b750bf061541
Name_94;unavailable;5;Category 005;0c638129-742e-4b8b-880f-93d30f16b44c
Name_95;pending;6;Category 006;872489c8-17ba-4d28-8af8-5547656a5fde
Name_96;available;7;Category 007;0a0d2d3a-4c6f-4d9a-9424-e409560af8cf
Name_97;unavailable;8;Category 008;50ee7264-2ec2-46d5-85cc-736da8cbbf68
Name_98;pending;9;Category 009;bd8a92f5-bad5-4a12-9e90-b8dfde125b29
Name_99;available;10;Category 010;c9dc8e3a-9f5d-4f20-ae3d-95717d28cc97
Name_100;unavailable;1;Category 001;6edc63df-0a7d-4aa6-9fe7-cf5a7ec7829b
Name_101;pending;2;Category 002;caa184b4-6cba-44f7-b385-9797ee0ca37e
Name_102;available;3;Category 003;b3202030-9a5c-4554-abe4-334dee8a77d3
Name_103;unavailable;4;Category 004;a294fd7a-9fa1-40e0-9ce0-5d07df5ecbd7
Name_104;pending;5;Category 005;658638e2-2046-4aa6-8d6d-9a4c0cd63624
Name_105;available;6;Category 006;b87cde05-7d2d-49b2-b506-0706b2b0cb20
Name_106;unavailable;7;Category 007;d7e58834-087b-4ac2-bcda-0cf6f38bef8a
Name_107;pending;8;Category 008;759be807-66f5-4039-a7b9-b42dd00ca35a
Name_108;available;9;Category 009;a85bfabc-2b17-494c-8fea-8f37d8f242c5
Name_109;unavailable;10;Category 010;dd6406d0-4a7d-40ea-9416-2d6e765cfaca
Name_110;pending;1;Category 001;844721e2-530b-4510-8c96-44fbdf1f324b
Name_111;available;2;Category 002;fe361b01-4a44-45d2-8271-2d059257164b
Name_112;unavailable;3;Category 003;003cb223-bf4f-435d-8eb2-37bad02c4dae
Name_113;pending;4;Category 004;8795f00e-425b-4383-9ce1-920a102b762c
Name_114;available;5;Category 005;922e5d8a-2645-41dc-8630-db847d1321fb
Name_115;unavailable;6;Category 006;24c3612a-9308-4e74-b85e-eeef286cead1
Name_116;pending;7;Category 007;1dcb4189-acb9-4755-b34c-09fded5742b3
Name_117;available;8;Category 008;b20e6f77-e784-43c2-8226-cb9a7c2ac3dd
Name_118;unavailable;9;Category 009;c282b447-f165-4a96-a4a5-3ca41ac9508c
Name_119;pending;10;Category 010;f31b8a63-1bdb-49fd-a966-79fffd17414a
Name_120;available;1;Category 001;7c187a95-01e9-413c-b434-16852eea9765
Name_121;unavailable;2;Category 002;73a1d6e1-f439-4eff-ae47-837103baf0ac
Name_122;pending;3;Category 003;7a9aad78-fb71-44e0-910c-c62931d75f10
Name_123;available;4;Category 004;a83d6c83-8b0c-4e72-969a-b4b9102b9fd5
Name_124;unavailable;5;Category 005;e49be07b-ef0c-4d27-b90a-d6c9426674ee
Name_125;pending;6;Category 006;6d2d5e9c-de7f-4af1-8452-a0be9e8158d8
Name_126;available;7;Category 007;929135ba-ab53-4747-9064-a9795c6dba68
Name_127;unavailable;8;Category 008;4ccdfbce-dfb3-4944-bbb5-e88bca30d582
Name_128;pending;9;Category 009;61e42e48-fddb-4f40-9a63-6a3ac8133887
Name_129;available;10;Category 010;cd55f1b9-beed-4f0f-a499-050246e0db8b
Name_130;unavailable;1;Category 001;a1ebde57-f994-4c97-bbf6-eac999d4d9ff
Name_131;pending;2;Category 002;1210c558-df5a-4cfe-91a0-6779f84e581a
Name_132;available;3;Category 003;c2477a32-875e-4ab0-b346-20b1ddf6ff43
Name_133;unavailable;4;Category 004;0aa4d308-e4be-4bd5-af3e-584454a8c420
Name_134;pending;5;Category 005;945152ef-5262-4e40-a511-3d3795fbb7b8
Name_135;available;6;Category 006;15b9fa8e-4cbf-4514-bdc4-adee15d1683d
Name_136;unavailable;7;Category 007;9780774d-61c5-48e9-886a-97101a09e923
Name_137;pending;8;Category 008;45ed858d-b7ec-406e-8e4d-50be568bffab
Name_138;available;9;Category 009;865b6e6d-7ee2-40c6-918c-dea8b77061cb
Name_139;unavailable;10;Category 010;ee180a26-7926-430c-9ad3-8780bf95cc9e
Name_140;pending;1;Category 001;b246fb1f-c8df-47c1-9d61-8bb346ea4b51
Name_141;available;2;Category 002;7687f215-63c9-41e5-b851-78370fca052b
Name_142;unavailable;3;Category 003;6bee5fe0-3bd8-44aa-830c-bef88accefc9
Name_143;pending;4;Category 004;fad0ce67-d040-4f2b-a8ef-4a7f2ab5e3f2
Name_144;available;5;Category 005;e02162a7-01ff-4418-a426-7a609764dff8
Name_145;unavailable;6;Category 006;d0ba3d1b-eacb-4a88-aaf4-147d0d6dac39
Name_146;pending;7;Category 007;386e4100-c9db-40c2-957f-51df28622784
Name_147;available;8;Category 008;47019d04-5f60-4b51-9647-dbbd1ac50190
Name_148;unavailable;9;Category 009;72ed8467-3df1-44d1-b75e-cda058026550
Name_149;pending;10;Category 010;32b2f1cb-4277-4e57-ad22-7d73214b7c7c
Name_150;available;1;Category 001;f1bb56a3-6139-4439-8c63-f94f950bfbbd
Name_151;unavailable;2;Category 002;cdc5f563-2524-4e46-af45-d26d22ae6778
Name_152;pending;3;Category 003;b85070f7-87fa-4b9a-b9cd-7dd7ac66a3d3
Name_153;available;4;Category 004;248d0083-cf26-4e94-8ea2-b77bc1263d4a
Name_154;unavailable;5;Category 005;5c79dbf9-006a-428f-94b2-5612224aa791
Name_155;pending;6;Category 006;4810f9ca-a8a6-47fe-807b-1eccb29931e8
Name_156;available;7;Category 007;546aa218-5b6d-4eec-b08d-adcb4a36b960
Name_157;unavailable;8;Category 008;fce537de-1849-44aa-af03-ea2cde4d077a
Name_158;pending;9;Category 009;0f1df8af-c055-4148-8053-34cb980d7784
Name_159;available;10;Category 010;2a692514-1330-4647-8145-94a3c6da8d03
Name_160;unavailable;1;Category 001;55072fa5-f5f6-475b-997a-de5780284916
Name_161;pending;2;Category 002;798fad56-d6b1-4285-9a51-c28ba7c135b3
Name_162;available;3;Category 003;06227faf-3239-4248-ba93-cc1131c9db22
Name_163;unavailable;4;Category 004;2bdefa66-187e-46aa-bd26-09a152fb0a33
Name_164;pending;5;Category 005;e84c9927-927d-4666-8a21-0015643331ea
Name_165;available;6;Category 006;8c0458e5-8129-4f39-ba4a-efed5656155a
Name_166;unavailable;7;Category 007;55690b16-3788-4c14-88e2-31a8d7a5c6b3
Name_167;pending;8;Category 008;649a3af4-2b20-4834-bac7-8b971b7131cc
Name_168;available;9;Category 009;81ad27d9-536a-4fca-9a88-dcb9502b3447
Name_169;unavailable;10;Category 010;8a0770b5-5f5d-4130-8649-cec9a09820d8
Name_170;pending;1;Category 001;7067ea82-8e95-4ec9-a335-0a52dd091be5
Name_171;available;2;Category 002;f5d346b9-7420-4fc1-9a4f-b3eb6a58d887
Name_172;unavailable;3;Category 003;6e178d5f-a80c-478c-9589-172fc0c6410c
Name_173;pending;4;Category 004;495ba20b-4c06-4623-8c19-09251fda134d
Name_174;available;5;Category 005;678b8b20-3d58-4f03-836b-1f8800088d68
Name_175;unavailable;6;Category 006;6c083e5c-e5b5-43da-ab96-72f06cf971e6
Name_176;pending;7;Category 007;cfe4edeb-fefe-4d07-8669-7ffdf669983e
Name_177;available;8;Category 008;e92874ea-6df8-445b-aab3-f9577a56333e
Name_178;unavailable;9;Category 009;b978e6a8-1321-4177-acb2-08b852998bd8
Name_179;pending;10;Category 010;55b113f7-0255-41f2-bc5f-957b80222491
Name_180;available;1;Category 001;af79772e-a115-4cf9-b77f-e782fac12ad2
Name_181;unavailable;2;Category 002;5752ffba-8bd9-40f7-95c0-a4dc5fe4d980
Name_182;pending;3;Category 003;1544c1a0-5775-43e5-8c0b-b6f988aec399
Name_183;available;4;Category 004;861523d7-e343-4fd1-99c2-eb2811da8ad4
Name_184;unavailable;5;Category 005;d9ade292-4dcc-43af-ac84-b6f22ec326c9
Name_185;pending;6;Category 006;3955518d-bb8f-43c9-8c4e-b45818b7ae8f
Name_186;available;7;Category 007;8c2252e4-14e7-4534-ace6-45d1488c6603
Name_187;unavailable;8;Category 008;d196f7fc-c4b4-4b3f-a0ce-c9bc339da799
Name_188;pending;9;Category 009;fd0f60bd-f3a2-45ae-a439-1bebec852476
Name_189;available;10;Category 010;d75af250-96e1-47fd-bebb-52a6adc52495
Name_190;unavailable;1;Category 001;4c168770-d90e-469f-9502-62bdd553e5c9
Name_191;pending;2;Category 002;339abea2-cdac-4efa-a9f9-8e5839cb208d
Name_192;available;3;Category 003;70a7dd5e-df31-4a98-b2d5-74af3bd9030e
Name_193;unavailable;4;Category 004;63bd9725-f032-4265-a88a-0715921a009c
Name_194;pending;5;Category 005;80bbef9b-ec89-4c10-bde0-9fcaa5715497
Name_195;available;6;Category 006;3871dee7-6a8d-4636-9e23-517543fbec6f
Name_196;unavailable;7;Category 007;8118fd8d-7b3b-44bf-b1a4-e63e373acf03
Name_197;pending;8;Category 008;4ec93bdd-79b2-4b95-a994-3d3d2bfe12a8
Name_198;available;9;Category 009;d9f21535-a493-4f13-8b81-2a8501ea1c6a
Name_199;unavailable;10;Category 010;3640e5e6-217f-4c41-8b05-7d67aab57932
Name_200;pending;1;Category 001;63cf8760-acb2-4142-b92d-6279bd075686
